lastModificationDate,Refresh Date,HIOS Plan ID* (Standard Component),Plan Marketing Name*,Plan Marketing Name old*,HIOS Product ID*,Network ID*,Service Area ID*,Formulary ID*,New/Existing Plan?*,Plan Type*,Level of Coverage*,Design Type*,Unique Plan Design?*,QHP/Non QHP*,Notice Required for Pregnancy*,Plan Level Exclusions,Limited Cost Sharing Plan Variation - Est Advanced Payment,Does this plan offer Composite Rating?*,Child-Only Offering*,Child Only Plan ID,Tobacco Wellness Program Offered*,Disease Management Programs Offered,EHB Percent of Total Premium*,EHB Apportionment for Pediatric Dental,Guaranteed vs_ Estimated Rate,Plan Effective Date*,Plan Expiration Date,Out of Country Coverage*,Out of Country Coverage Description,Out of Service Area Coverage*,Out of Service Area Coverage Description,National Network*
04/25/2024 20:41,05/14/2024 14:32,32753MO0950023,Anthem Gold Pathway 1500 Standard ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Gold Pathway 1500 Standard (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO095,MON099,MOS001,MOF506,Existing,EPO,Gold,Not Applicable,Yes,Both,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:42,05/14/2024 14:32,32753MO0950051,Anthem Bronze Pathway 9200 ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Bronze Pathway 9200 (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO095,MON099,MOS001,MOF501,Existing,EPO,Bronze,Not Applicable,Yes,Both,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:45,05/14/2024 14:32,32753MO0980002,Anthem Heart Healthy Bronze Pathway Essentials 4900 ($0 Virtual PCP + $0 Select Drugs),Anthem Heart Healthy Bronze Pathway Essentials 4900 (0 Virtual PCP + 0 Select Drugs),32753MO098,MON099,MOS012,MOF513,New,EPO,Expanded Bronze,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:45,05/14/2024 14:32,32753MO0980003,Anthem Bronze Pathway Essentials 6900 ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Bronze Pathway Essentials 6900 (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO098,MON099,MOS012,MOF512,New,EPO,Expanded Bronze,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:46,05/14/2024 14:32,32753MO0980004,Anthem Bronze Pathway Essentials 7500 Standard ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Bronze Pathway Essentials 7500 Standard (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO098,MON099,MOS012,MOF508,New,EPO,Expanded Bronze,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:46,05/14/2024 14:32,32753MO0980005,Anthem Bronze Pathway Essentials 9200 (+ Incentives),Anthem Bronze Pathway Essentials 9200 (+ Incentives),32753MO098,MON099,MOS012,MOF501,New,EPO,Bronze,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:47,05/14/2024 14:32,32753MO0980006,Anthem Catastrophic Pathway Essentials 9200 (+ Incentives),Anthem Catastrophic Pathway Essentials 9200 (+ Incentives),32753MO098,MON099,MOS012,MOF501,New,EPO,Catastrophic,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:45,05/14/2024 14:32,32753MO0980007,Anthem Gold Pathway Essentials 1500 Standard ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Gold Pathway Essentials 1500 Standard (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO098,MON099,MOS012,MOF506,New,EPO,Gold,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:46,05/14/2024 14:32,32753MO0980008,Anthem Heart Healthy Silver Pathway Essentials 2900 ($0 Virtual PCP + $0 Select Drugs),Anthem Heart Healthy Silver Pathway Essentials 2900 (0 Virtual PCP + 0 Select Drugs),32753MO098,MON099,MOS012,MOF515,New,EPO,Silver,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:45,05/14/2024 14:32,32753MO0980010,Anthem Silver Pathway Essentials 5350 ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Silver Pathway Essentials 5350 (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO098,MON099,MOS012,MOF517,New,EPO,Silver,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:45,05/14/2024 14:32,32753MO0980011,Anthem Silver Pathway Essentials 5000 Standard ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Silver Pathway Essentials 5000 Standard (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO098,MON099,MOS012,MOF507,New,EPO,Silver,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
04/25/2024 20:44,05/14/2024 14:32,32753MO0980012,Anthem Silver Pathway Essentials 7250 ($0 Virtual PCP + $0 Select Drugs + Incentives),Anthem Silver Pathway Essentials 7250 (0 Virtual PCP + 0 Select Drugs + Incentives),32753MO098,MON099,MOS012,MOF510,New,EPO,Silver,Not Applicable,Yes,Off the Exchange,No,,$0.00,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",100.00%,,,01/01/2025,12/31/2025,No,Urgent/Emergency Coverage Only,No,Standard Bluecard PPO Network,No
